Source Name	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [culture type]	Characteristics [environmental condition]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [strain]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [environmental condition]
GSM1331373 1	SRS560126	ex vivo tumor sample 2	PA14_tumor	PA14_tumor_sample2 [growth condition]	planktonic culture	ex vivo tumor	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-11	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331373 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331373	SRX474137	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173937	SRR1173937	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1173937/SRR1173937.fastq.gz	GSM1331373_exvivo.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	ex vivo tumor
GSM1331372 1	SRS560125	ex vivo tumor sample 1	PA14_tumor	PA14_tumor_sample1 [growth condition]	planktonic culture	ex vivo tumor	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-11	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331372 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331372	SRX474136	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173936	SRR1173936	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1173936/SRR1173936.fastq.gz	GSM1331372_exvivo.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	ex vivo tumor
GSM1331371 1	SRS560123	exponential growth conditions sample 6	FliA_wildtype_exp	FliA_wildtype_sample2 [growth condition]	planktonic culture	exponential growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-10	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331371 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331371	SRX474135	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173935	SRR1173935	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1173935/SRR1173935.fastq.gz	GSM1331371_exp.6.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	exponential growth
GSM1331370 1	SRS560124	exponential growth conditions sample 5	FliA_empty_vector_exp	FliA_empty_vector_sample1 [growth condition]	planktonic culture	exponential growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-10	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331370 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331370	SRX474134	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173934	SRR1173934	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1173934/SRR1173934.fastq.gz	GSM1331370_exp.5.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	exponential growth
GSM1331369 1	SRS560122	exponential growth conditions sample 4	FliA_wildtype_exp	FliA_wildtype_sample1 [growth condition]	planktonic culture	exponential growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-10	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331369 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331369	SRX474133	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173933	SRR1173933	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1173933/SRR1173933.fastq.gz	GSM1331369_exp.4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	exponential growth
GSM1331368 1	SRS560121	exponential growth conditions sample 3	RpoD_overexpressed_exp	RpoD_overexpressed_sample1 [growth condition]	planktonic culture	exponential growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-10	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331368 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331368	SRX474132	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173932	SRR1173932	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1173932/SRR1173932.fastq.gz	GSM1331368_exp.3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	exponential growth
GSM1331367 1	SRS560120	exponential growth conditions sample 2	PA14_wt_exp	PA14_wt_exp_sample2 [growth condition]	planktonic culture	exponential growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-10	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331367 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331367	SRX474131	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173931	SRR1173931	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1173931/SRR1173931.fastq.gz	GSM1331367_exp.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	exponential growth
GSM1331366 1	SRS560119	exponential growth conditions sample 1	PA14_wt_exp	PA14_wt_exp_sample1 [growth condition]	planktonic culture	exponential growth	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-10	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331366 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331366	SRX474130	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173930	SRR1173930	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1173930/SRR1173930.fastq.gz	GSM1331366_exp.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	exponential growth
GSM1331365 1	SRS560117	low phosphate conditions sample 2	PA14_wt_lowP	PA14_wt_lowP_sample2 [growth condition]	planktonic culture	low phosphate	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-9	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331365 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331365	SRX474129	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173929	SRR1173929	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1173929/SRR1173929.fastq.gz	GSM1331365_DMlowP.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	low phosphate
GSM1331364 1	SRS560118	low phosphate conditions sample 1	PA14_wt_lowP	PA14_wt_lowP_sample1 [growth condition]	planktonic culture	low phosphate	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-9	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331364 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331364	SRX474128	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173928	SRR1173928	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1173928/SRR1173928.fastq.gz	GSM1331364_DMlowP.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	low phosphate
GSM1331363 1	SRS560115	biofilm 48h conditions sample 2	PA14_wt_bf48	PA14_wt_bf48_sample2 [growth condition]	planktonic culture	biofilm 48h	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-8	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331363 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331363	SRX474127	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173927	SRR1173927	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1173927/SRR1173927.fastq.gz	GSM1331363_bf48.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	biofilm 48h
GSM1331362 1	SRS560116	biofilm 48h conditions sample 1	PA14_wt_bf48	PA14_wt_bf48_sample1 [growth condition]	planktonic culture	biofilm 48h	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-8	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331362 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331362	SRX474126	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173926	SRR1173926	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1173926/SRR1173926.fastq.gz	GSM1331362_bf48.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	biofilm 48h
GSM1331361 1	SRS560113	biofilm 24h conditions sample 2	PA14_wt_bf24	PA14_wt_bf24_sample2 [growth condition]	planktonic culture	biofilm 24h	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-7	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331361 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331361	SRX474125	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173925	SRR1173925	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1173925/SRR1173925.fastq.gz	GSM1331361_bf24.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	biofilm 24h
GSM1331360 1	SRS560114	biofilm 24h conditions sample 1	PA14_wt_bf24	PA14_wt_bf24_sample1 [growth condition]	planktonic culture	biofilm 24h	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-7	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331360 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331360	SRX474124	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173924	SRR1173924	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1173924/SRR1173924.fastq.gz	GSM1331360_bf24.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	biofilm 24h
GSM1331359 1	SRS560112	attachment conditions sample 2	PA14_wt_att	PA14_wt_att_sample2 [growth condition]	planktonic culture	attachment	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-6	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331359 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331359	SRX474123	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173923	SRR1173923	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1173923/SRR1173923.fastq.gz	GSM1331359_att.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	attachment
GSM1331358 1	SRS560111	attachment conditions sample 1	PA14_wt_att	PA14_wt_att_sample1 [growth condition]	planktonic culture	attachment	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-6	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331358 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331358	SRX474122	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173922	SRR1173922	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1173922/SRR1173922.fastq.gz	GSM1331358_att.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	attachment
GSM1331357 1	SRS560109	attachment control conditions sample 2	PA14_wt_att_control	PA14_wt_att_control_sample2 [growth condition]	planktonic culture	attachment control	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-5	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331357 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331357	SRX474121	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173921	SRR1173921	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1173921/SRR1173921.fastq.gz	GSM1331357_att_c.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	attachment control
GSM1331356 1	SRS560110	attachment control conditions sample 1	PA14_wt_att_control	PA14_wt_att_control_sample1 [growth condition]	planktonic culture	attachment control	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-5	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331356 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331356	SRX474120	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173920	SRR1173920	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1173920/SRR1173920.fastq.gz	GSM1331356_att_c.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	attachment control
GSM1331355 1	SRS560108	anoxic conditions sample 2	PA14_wt_anox	PA14_wt_anox_sample2 [growth condition]	planktonic culture	anoxic	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-2	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331355 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331355	SRX474119	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173919	SRR1173919	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1173919/SRR1173919.fastq.gz	GSM1331355_anox.2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	anoxic
GSM1331354 1	SRS560107	anoxic conditions sample 1	PA14_wt_anox	PA14_wt_anox_sample1 [growth condition]	planktonic culture	anoxic	Pseudomonas aeruginosa	EFO	http://purl.obolibrary.org/obo/NCBITaxon_287	PA14 wild type	P-GSE55197-2	ArrayExpress	P-GSE55197-1	ArrayExpress	P-GSE55197-3	ArrayExpress	GSM1331354 extract 1	Illumina Genome Analyzer IIx	SINGLE	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1331354	SRX474118	Illumina Genome Analyzer IIx (Pseudomonas aeruginosa)	sequencing assay	P-GSE55197-4	ArrayExpress	SRR1173918	SRR1173918	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1173918/SRR1173918.fastq.gz	GSM1331354_anox.1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55197/E-GEOD-55197.processed.1.zip	anoxic
